id,name,game,follower_count,avg_viewers
1,Rubius,Valorant,6079825,2812
2,Asmongold,GTA V,9654278,35803
3,Shroud,GTA V,9144183,5298
4,Asmongold,Apex Legends,3524970,42524
5,Asmongold,Counter-Strike,6705857,48571
6,xQc,League of Legends,5033750,49635
7,Pokimane,Counter-Strike,4590554,30352
8,Pokimane,Call of Duty,6648584,35670
9,Asmongold,GTA V,6586735,48740
10,Summit1G,World of Warcraft,1579353,13377
11,Myth,League of Legends,7073562,46501
12,Tfue,Counter-Strike,3497734,37162
13,DrDisrespect,GTA V,7887662,5079
14,xQc,Minecraft,9996130,23958
15,Pokimane,Dota 2,3595177,4941
16,DrDisrespect,Valorant,4232432,14912
17,Rubius,Apex Legends,372219,21609
18,Pokimane,Apex Legends,984397,40586
19,Asmongold,Apex Legends,4563892,13285
20,DrDisrespect,Minecraft,8018924,27186
21,Ninja,Counter-Strike,2366923,19445
22,xQc,Valorant,2241100,38080
23,xQc,League of Legends,4815848,38418
24,xQc,Minecraft,3273590,41440
25,Tfue,Dota 2,7138706,39603
26,Rubius,Fortnite,3872409,30612
27,Tfue,Call of Duty,4881472,11146
28,Rubius,Valorant,5639831,43827
29,Rubius,World of Warcraft,9775025,47829
30,Rubius,Call of Duty,892403,7015
31,DrDisrespect,Call of Duty,683516,14028
32,Shroud,Counter-Strike,8235660,46446
33,DrDisrespect,Fortnite,4543825,29485
34,Pokimane,Call of Duty,5820927,35836
35,Myth,Call of Duty,9007526,11267
36,DrDisrespect,World of Warcraft,8400668,11574
37,Summit1G,GTA V,2779830,13765
38,Tfue,Fortnite,1928042,30339
39,xQc,GTA V,2756904,11219
40,Rubius,World of Warcraft,5238229,21870
41,DrDisrespect,Minecraft,4274224,18825
42,Ninja,World of Warcraft,7705315,10253
43,xQc,Call of Duty,5258484,16305
44,Rubius,Dota 2,237224,2302
45,Summit1G,Counter-Strike,2480817,42417
46,Myth,Apex Legends,3596888,33927
47,Asmongold,Call of Duty,4934286,16442
48,Ninja,Minecraft,5033345,25450
49,Rubius,Fortnite,8275722,41918
50,Shroud,Counter-Strike,9066049,17262
51,Rubius,GTA V,7130201,13141
52,Ninja,League of Legends,2834961,10554
53,Summit1G,Minecraft,196272,4699
54,Tfue,Counter-Strike,9623006,48347
55,Myth,Dota 2,4139814,42201
56,Summit1G,Apex Legends,4294258,45289
57,Pokimane,Call of Duty,5122586,19704
58,Ninja,Dota 2,7580880,2278
59,DrDisrespect,Dota 2,6827996,48331
60,DrDisrespect,World of Warcraft,6518015,40774
61,Ninja,Valorant,4231658,24693
62,Ninja,League of Legends,8349103,24564
63,Rubius,League of Legends,3646207,47443
64,Pokimane,GTA V,7046626,23254
65,Asmongold,Fortnite,9706420,17060
66,Pokimane,League of Legends,2792026,25773
67,Rubius,Counter-Strike,3976737,43736
68,Rubius,Minecraft,4156082,47038
69,Summit1G,Valorant,3660066,20346
70,Rubius,Valorant,7140621,36344
71,Asmongold,Counter-Strike,6496183,32781
72,xQc,Fortnite,2275162,37029
73,Pokimane,Call of Duty,7490819,24324
74,Shroud,Dota 2,2135849,44387
75,Summit1G,Dota 2,7934926,47763
76,Myth,World of Warcraft,7008950,39808
77,DrDisrespect,Call of Duty,7618930,2407
78,Rubius,Fortnite,5356102,28722
79,Pokimane,League of Legends,8164520,47919
80,Pokimane,Fortnite,7651960,13863
81,Tfue,Counter-Strike,8171309,4667
82,xQc,Dota 2,8628525,28048
83,Shroud,Minecraft,9476607,29097
84,Asmongold,World of Warcraft,8300063,20518
85,Shroud,Minecraft,6290359,32330
86,Asmongold,Minecraft,3161795,30953
87,xQc,World of Warcraft,7406238,48958
88,Pokimane,GTA V,6221470,37594
89,Asmongold,Dota 2,4050590,32631
90,xQc,Valorant,4920539,35613
91,Shroud,Minecraft,6153598,30282
92,Shroud,Counter-Strike,5207454,24420
93,xQc,Call of Duty,2865756,10873
94,Asmongold,Minecraft,4109173,35044
95,DrDisrespect,Valorant,5311559,46646
96,Asmongold,Counter-Strike,3375482,16619
97,DrDisrespect,Minecraft,7839909,20204
98,xQc,Valorant,9748924,9634
99,Pokimane,Call of Duty,1178084,32928
100,Shroud,Minecraft,5244971,34291
101,DrDisrespect,GTA V,7677895,48817
102,Myth,Fortnite,3494643,42091
103,Rubius,Valorant,5263228,15732
104,Shroud,GTA V,2767396,28730
105,Ninja,World of Warcraft,6519608,26916
106,xQc,Apex Legends,1407924,16852
107,Pokimane,Fortnite,9150176,43373
108,xQc,Call of Duty,4687333,21797
109,Ninja,Valorant,4021513,776
110,Tfue,Fortnite,2884711,34426
111,Shroud,Valorant,2421041,31077
112,Asmongold,Dota 2,9689489,44795
113,DrDisrespect,Counter-Strike,2890584,16462
114,Summit1G,Valorant,1067485,37182
115,Tfue,Call of Duty,5201639,46405
116,DrDisrespect,Call of Duty,5414272,39902
117,Rubius,Fortnite,2772585,31801
118,Pokimane,Minecraft,8825143,24505
119,Rubius,Dota 2,1249040,42890
120,Shroud,GTA V,4592671,26662
121,xQc,Minecraft,7349566,3531
122,xQc,Fortnite,4044727,7872
123,Summit1G,Dota 2,9618962,22945
124,Rubius,Minecraft,5136806,23608
125,Tfue,Fortnite,8202183,7754
126,Summit1G,Minecraft,4015767,29692
127,Myth,Apex Legends,8237968,43103
128,Ninja,Minecraft,6994206,5617
129,DrDisrespect,League of Legends,3818662,46698
130,Rubius,Call of Duty,9330159,43863
131,Pokimane,World of Warcraft,1987131,30253
132,Ninja,World of Warcraft,2885199,22621
133,Asmongold,GTA V,1256822,34295
134,Rubius,Minecraft,941207,42537
135,Shroud,Minecraft,2933740,31767
136,Myth,Apex Legends,4318539,38645
137,Shroud,GTA V,5514744,8275
138,Shroud,Call of Duty,1324399,27072
139,Shroud,Call of Duty,3566460,20120
140,xQc,Call of Duty,3940904,27837
141,Tfue,Counter-Strike,5885722,45494
142,DrDisrespect,Valorant,2647610,10135
143,Rubius,World of Warcraft,1620022,33795
144,Pokimane,Apex Legends,2649592,16425
145,Tfue,Minecraft,9782906,28260
146,Ninja,World of Warcraft,1113034,48887
147,Shroud,GTA V,8827281,5775
148,Shroud,League of Legends,7755243,14017
149,Ninja,Apex Legends,6892532,8544
150,Ninja,World of Warcraft,1403074,36529
151,xQc,Minecraft,6395588,23811
152,xQc,World of Warcraft,3590933,40206
153,DrDisrespect,Valorant,3519789,8014
154,Myth,Counter-Strike,9684991,30923
155,Summit1G,World of Warcraft,1254157,6745
156,Asmongold,Call of Duty,9079333,3127
157,Pokimane,Counter-Strike,6816094,14159
158,Myth,Call of Duty,5637457,45846
159,Rubius,Dota 2,4000423,40814
160,Asmongold,Minecraft,6124240,30543
161,Myth,GTA V,577305,47248
162,Ninja,World of Warcraft,2859791,36181
163,DrDisrespect,Fortnite,3788455,47909
164,Rubius,Apex Legends,985754,2890
165,Myth,Counter-Strike,2509203,41393
166,DrDisrespect,Dota 2,4258888,19578
167,Asmongold,Counter-Strike,1492400,35452
168,Ninja,World of Warcraft,9721513,28971
169,Asmongold,Apex Legends,8788751,2404
170,xQc,Valorant,7500115,36995
171,Ninja,Minecraft,958426,24470
172,Tfue,Call of Duty,3087047,40416
173,Tfue,League of Legends,5199019,22906
174,DrDisrespect,GTA V,5406627,24829
175,Summit1G,Counter-Strike,5556393,35666
176,Summit1G,GTA V,699314,4473
177,Asmongold,GTA V,1075758,39637
178,Rubius,World of Warcraft,3036943,21955
179,Rubius,Minecraft,1601721,49716
180,Summit1G,Call of Duty,8750626,19275
181,Ninja,Minecraft,6682669,40553
182,DrDisrespect,League of Legends,9246612,23694
183,Pokimane,Counter-Strike,9555705,40236
184,Asmongold,League of Legends,5356081,42822
185,Myth,Valorant,6303084,36134
186,Shroud,Fortnite,1998785,25242
187,Tfue,Counter-Strike,2300758,6681
188,DrDisrespect,Counter-Strike,2123379,36208
189,Rubius,Call of Duty,1433326,46861
190,Rubius,GTA V,440261,36477
191,Tfue,Minecraft,8121433,22085
192,DrDisrespect,Dota 2,552631,6195
193,Pokimane,Counter-Strike,4883034,34495
194,DrDisrespect,Fortnite,8490506,14861
195,Shroud,Apex Legends,4956635,11153
196,Asmongold,League of Legends,3601901,38289
197,xQc,Apex Legends,1218533,41097
198,DrDisrespect,Counter-Strike,8378331,8471
199,Pokimane,Apex Legends,2767835,30683
200,Tfue,Dota 2,9032463,8442
201,Asmongold,Fortnite,298879,28550
202,Shroud,Counter-Strike,5973061,3511
203,Ninja,World of Warcraft,8061050,7571
204,Tfue,Dota 2,4581904,36310
205,Myth,Valorant,5413818,19796
206,Ninja,Counter-Strike,5738751,6956
207,Tfue,Minecraft,5661812,2876
208,Tfue,League of Legends,9206624,11570
209,DrDisrespect,League of Legends,887999,30188
210,xQc,Valorant,9540147,10645
211,Myth,Dota 2,6863744,18243
212,Tfue,Apex Legends,9106306,8605
213,DrDisrespect,GTA V,923125,14139
214,xQc,Fortnite,901764,10742
215,Tfue,GTA V,3105016,41404
216,Summit1G,Minecraft,4894373,21781
217,Tfue,GTA V,1643582,32808
218,Rubius,Minecraft,267075,41650
219,DrDisrespect,Apex Legends,2787685,39299
220,Summit1G,Call of Duty,9436706,22608
221,Asmongold,League of Legends,4131200,19701
222,DrDisrespect,Valorant,5357595,7421
223,Tfue,Apex Legends,488628,39534
224,DrDisrespect,Call of Duty,6720078,23579
225,Ninja,Valorant,6700054,22796
226,DrDisrespect,Fortnite,8044824,5062
227,Ninja,World of Warcraft,9708506,17755
228,Summit1G,Counter-Strike,3120164,33263
229,xQc,Counter-Strike,994635,2225
230,Shroud,Apex Legends,2303941,19106
231,Summit1G,Valorant,663314,27324
232,Ninja,Call of Duty,9539063,30951
233,Asmongold,Valorant,455594,20054
234,Tfue,Fortnite,4499807,36611
235,Summit1G,Minecraft,4880952,48530
236,Pokimane,Counter-Strike,6738400,28462
237,Myth,Counter-Strike,7812666,31547
238,Tfue,World of Warcraft,3855899,49407
239,Summit1G,Minecraft,5740981,5898
240,Ninja,Minecraft,9849773,35354
241,Myth,Call of Duty,3479732,9585
242,Pokimane,Apex Legends,6006888,42321
243,Ninja,Counter-Strike,5377622,49197
244,Rubius,World of Warcraft,6811883,28939
245,DrDisrespect,GTA V,4112282,11844
246,Pokimane,GTA V,1051104,40043
247,Myth,Call of Duty,9394207,11835
248,Ninja,Call of Duty,3059216,21039
249,Myth,Apex Legends,4242826,44787
250,Asmongold,GTA V,1902415,48496
251,xQc,GTA V,9812825,15530
252,Asmongold,Call of Duty,2917645,46249
253,xQc,Fortnite,1092187,2952
254,Shroud,Dota 2,2716479,22817
255,Pokimane,Counter-Strike,1722384,32443
256,Ninja,Fortnite,5981587,4756
257,Tfue,Apex Legends,6596229,48493
258,DrDisrespect,Minecraft,6298728,5158
259,Ninja,Fortnite,6699572,7964
260,Pokimane,Dota 2,2158638,38193
261,Summit1G,GTA V,3789165,24029
262,Asmongold,Valorant,6142674,48546
263,xQc,Call of Duty,2979864,43624
264,Ninja,Call of Duty,2630757,2148
265,Summit1G,Fortnite,8889268,39228
266,xQc,GTA V,111679,2631
267,Ninja,Dota 2,2372147,31279
268,xQc,GTA V,6188506,22195
269,Ninja,Apex Legends,6677483,38008
270,Rubius,Counter-Strike,9376144,3800
271,xQc,Apex Legends,8539923,23898
272,DrDisrespect,GTA V,648399,49984
273,Myth,World of Warcraft,5296767,2360
274,DrDisrespect,Apex Legends,7936111,33824
275,xQc,League of Legends,6309571,30889
276,Summit1G,Valorant,5245720,23368
277,Tfue,Dota 2,5030186,30825
278,Ninja,Valorant,3226556,31944
279,Shroud,Call of Duty,1998845,18465
280,Summit1G,GTA V,8896517,43449
281,Myth,Dota 2,1915754,12597
282,DrDisrespect,World of Warcraft,8106422,34259
283,Myth,Call of Duty,2345880,20820
284,Shroud,Dota 2,7579185,25239
285,Tfue,World of Warcraft,5664983,7063
286,xQc,Dota 2,4466784,16403
287,DrDisrespect,Fortnite,6808659,34493
288,Ninja,Minecraft,9131326,35310
289,Shroud,GTA V,2479760,17076
290,Asmongold,League of Legends,9230501,40892
291,Shroud,Fortnite,3380104,821
292,DrDisrespect,Dota 2,901072,14476
293,Ninja,Apex Legends,1898780,11663
294,Tfue,GTA V,6271346,6486
295,Tfue,GTA V,3667632,46303
296,Asmongold,Counter-Strike,5620006,17637
297,Shroud,Valorant,114693,19336
298,Shroud,Fortnite,7254491,17782
299,xQc,Minecraft,5332240,30932
300,Asmongold,Apex Legends,1317234,7811
301,xQc,Call of Duty,3872521,17612
302,Asmongold,Counter-Strike,7810137,31179
303,Myth,Call of Duty,9472851,19072
304,Myth,Valorant,7398285,16527
305,Asmongold,Minecraft,9168984,19373
306,xQc,Minecraft,5578948,7686
307,Myth,Valorant,3480494,43187
308,Ninja,League of Legends,8854316,25382
309,Summit1G,Counter-Strike,6059504,11876
310,Asmongold,Call of Duty,7661414,49744
311,Asmongold,World of Warcraft,4264254,6684
312,Summit1G,Valorant,2734043,26555
313,Rubius,Minecraft,650011,35742
314,xQc,World of Warcraft,2595946,10284
315,Shroud,Dota 2,3255448,49380
316,Shroud,Fortnite,4743469,15680
317,Pokimane,Valorant,2428460,1361
318,Tfue,League of Legends,3546795,28223
319,Asmongold,League of Legends,3528535,36016
320,Asmongold,Minecraft,4738798,26751
321,DrDisrespect,Fortnite,3464269,9269
322,Ninja,Call of Duty,6730173,23576
323,Asmongold,World of Warcraft,4143157,1079
324,Pokimane,League of Legends,1917108,17329
325,Tfue,Call of Duty,588305,17494
326,xQc,Valorant,9550871,46398
327,Ninja,Apex Legends,2314112,44723
328,Myth,Counter-Strike,1427468,3052
329,Rubius,GTA V,1893644,21430
330,xQc,Apex Legends,8160348,6768
331,Rubius,GTA V,5181871,43368
332,Tfue,League of Legends,8051887,4573
333,Asmongold,Counter-Strike,2902048,2908
334,DrDisrespect,World of Warcraft,5967386,24608
335,Shroud,Apex Legends,9352572,17457
336,Tfue,Call of Duty,3489378,31492
337,xQc,World of Warcraft,4721315,27869
338,DrDisrespect,GTA V,9492130,29068
339,Ninja,Apex Legends,8609786,46841
340,Rubius,Apex Legends,9039114,36711
341,xQc,Valorant,358848,8556
342,Tfue,GTA V,5916491,37487
343,Summit1G,League of Legends,3430821,32378
344,DrDisrespect,Call of Duty,671412,5469
345,Asmongold,League of Legends,3919615,38522
346,Pokimane,World of Warcraft,8509140,26173
347,Asmongold,Counter-Strike,7511426,16029
348,Rubius,Fortnite,7893118,19464
349,Summit1G,Call of Duty,1893951,9998
350,Rubius,Counter-Strike,5956538,49314
351,Rubius,League of Legends,2722976,31877
352,Rubius,Call of Duty,4722007,36701
353,Shroud,Fortnite,7690541,31415
354,Tfue,Valorant,5140666,42028
355,Pokimane,Apex Legends,658294,38042
356,Summit1G,Valorant,9520106,44141
357,Shroud,League of Legends,8936875,39581
358,Ninja,GTA V,3266073,40799
359,DrDisrespect,GTA V,4004958,15230
360,Shroud,Minecraft,7752746,42568
361,DrDisrespect,GTA V,6019718,1642
362,Myth,Fortnite,2618245,43035
363,Summit1G,Valorant,2681807,4271
364,Tfue,World of Warcraft,7160896,31746
365,Rubius,World of Warcraft,513135,30368
366,Ninja,Apex Legends,9146017,8506
367,Pokimane,League of Legends,8617177,30164
368,Pokimane,Fortnite,7897940,6459
369,Asmongold,League of Legends,8379142,22766
370,Asmongold,Counter-Strike,5638776,21051
371,Rubius,League of Legends,8658219,33086
372,Asmongold,GTA V,7709097,10783
373,Summit1G,League of Legends,8865177,10069
374,Summit1G,World of Warcraft,7426924,31601
375,DrDisrespect,Minecraft,7606221,28318
376,Rubius,Apex Legends,3772750,11492
377,Myth,Minecraft,7054113,42611
378,Rubius,Fortnite,4252036,41289
379,Tfue,League of Legends,2214760,2981
380,Ninja,Dota 2,5614286,32650
381,Myth,Fortnite,3994046,26113
382,DrDisrespect,Call of Duty,5798100,11062
383,Pokimane,Dota 2,6606967,26981
384,Ninja,Counter-Strike,3663638,24622
385,Asmongold,World of Warcraft,1533696,13467
386,Shroud,Minecraft,3159517,40631
387,Rubius,League of Legends,4166972,48722
388,Tfue,GTA V,5988933,25375
389,xQc,Minecraft,2191921,41095
390,DrDisrespect,Dota 2,1189361,3628
391,xQc,Call of Duty,6508078,23961
392,Tfue,Fortnite,2442752,15076
393,Asmongold,GTA V,639878,49072
394,Pokimane,Call of Duty,3681715,17644
395,Ninja,League of Legends,738947,13905
396,Myth,Fortnite,6816134,32875
397,Asmongold,Fortnite,3562176,16496
398,Ninja,GTA V,8698426,2811
399,Pokimane,Minecraft,3776309,25155
400,DrDisrespect,Counter-Strike,4581418,45017
401,DrDisrespect,Valorant,7392963,31131
402,Tfue,League of Legends,4377138,26413
403,Rubius,GTA V,1522005,17991
404,DrDisrespect,World of Warcraft,8738280,48405
405,Myth,Dota 2,8572354,22533
406,Shroud,League of Legends,4286216,44378
407,xQc,League of Legends,3040272,46144
408,Asmongold,Fortnite,1981180,31538
409,Shroud,League of Legends,7219472,3703
410,Rubius,Minecraft,8230304,48604
411,Ninja,Minecraft,7322453,5407
412,Tfue,Apex Legends,2231992,670
413,Rubius,World of Warcraft,4513006,41034
414,xQc,GTA V,978036,26376
415,Asmongold,League of Legends,4811497,25411
416,Rubius,Dota 2,9206198,39078
417,Tfue,Dota 2,6880422,1003
418,xQc,Call of Duty,6748916,3127
419,Pokimane,Dota 2,9957359,40426
420,Shroud,Minecraft,1523150,3916
421,Shroud,GTA V,9995303,20992
422,Rubius,Call of Duty,3171512,45493
423,Summit1G,GTA V,3114112,42151
424,Ninja,Apex Legends,1722756,7408
425,Myth,Dota 2,3659772,34150
426,Asmongold,Fortnite,7834838,37336
427,Asmongold,Valorant,3668112,28027
428,Ninja,Fortnite,6310019,36747
429,Summit1G,Minecraft,3933025,41259
430,Shroud,World of Warcraft,5465812,8164
431,Myth,World of Warcraft,9831497,19336
432,Asmongold,Call of Duty,1027734,35290
433,DrDisrespect,Minecraft,3434202,3777
434,Asmongold,Valorant,4809350,36591
435,Summit1G,Fortnite,6653806,37906
436,DrDisrespect,Fortnite,6107615,42289
437,Asmongold,Dota 2,2456954,40036
438,Myth,Minecraft,5187014,17820
439,Asmongold,World of Warcraft,4203122,4805
440,xQc,League of Legends,9366732,44378
441,Rubius,League of Legends,9574945,31090
442,Shroud,Valorant,1041095,47720
443,Myth,Dota 2,4266183,19161
444,Asmongold,League of Legends,400347,13866
445,Asmongold,GTA V,1942919,25339
446,Shroud,GTA V,5705894,17081
447,Asmongold,League of Legends,3833139,15543
448,Ninja,Fortnite,5976957,5403
449,Asmongold,World of Warcraft,2854496,973
450,Summit1G,Counter-Strike,4412103,23179
451,Summit1G,Valorant,8385663,18104
452,Myth,Fortnite,6753439,46158
